s_id;unit;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32
4;µg/L;0.17;0.017;0.017;0.17;0.17;0.17;0.025;0.017;0.017;0.025;0.025;0.025;0.17;0.017;0.017;0.17;0.17;0.17;0.025;0.017;0.017;0.025;0.025;0.025;0.17;0.17;0.025;0.025;0.34;0.29;0.15;0
5;µg/L;0.075;0.0082;0.0082;0.075;0.075;0.075;0;0;0;0;0;0;0.075;0.0082;0.0082;0.075;0.075;0.075;0;0;0;0;0;0;0.075;0.075;0;0;0.13;0.11;0.054;0
6;µg/L;0.06;0.017;0.017;0.06;0.06;0.06;0;0;0;0;0;0;0.06;0.017;0.017;0.06;0.06;0.06;0;0;0;0;0;0;0.06;0.06;0;0;0.157;0.127;0.051;0
12;µg/L;0.395;0.12;0.12;0.395;0.395;0.395;0;0;0;0;0;0;0.395;0.12;0.12;0.395;0.395;0.395;0;0;0;0;0;0;0.395;0.395;0;0;1.02;0.83;0.35;0
13;mg/L;0;0.1;0.1;0;0;0;0;0.1;0.1;0;0;0;0;0.1;0.1;0;0;0;0;0.1;0.1;0;0;0;0;0;0;0;0.094;0.25;1.9;1.9
18;mg/L;0;0.05;0.05;0;0;0;0;0.05;0.05;0;0;0;0;0.05;0.05;0;0;0;0;0.05;0.05;0;0;0;0;0;0;0;0.044;0.125;0.78;0.78
21;µg/L;7000;55;55;55;55;55;7000;55;55;55;55;55;7000;0;0;0;0;0;7000;0;0;0;0;0;41;41;41;41;109;109;109;109
14;µg/L;39;39;39;39;39;39;39;39;39;39;39;39;106;106;106;106;106;106;106;106;106;106;106;106;56;56;56;56;14.6;14.6;14.6;14.6
15;µg/L;0;1.9;0;1.9;0;0;0;1.9;0;1.9;0;0;0;1.9;0;1.9;0;0;0;1.9;0;1.9;0;0;0;0;0;0;0;0;0;0
10;µg/L;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;2.12;2.12;2.12;2.12;2.12;2.12;2.12;2.12;2.12;2.12;2.12;2.12;0.97;0.97;0.97;0.97;1.02;0.83;0.35;0
1;mg/L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;75;75;75
